code,ident,name,type,length_ft,width_ft,surface,le_elevation_ft
EC,SECO,Francisco De Orellana Airport,medium_airport,6760,90,ASPH,831
EC,SECU,Mariscal Lamar Airport,medium_airport,6234,118,ASPH,8306
EC,SEGS,Seymour Galapagos Ecological Airport,small_airport,7876,115,ASPH,145
EC,SEGU,José Joaquín de Olmedo International Airport,large_airport,9154,151,ASPH,16
EC,SELT,Cotopaxi International Airport,medium_airport,12117,148,ASPH,9190
EC,SEMA,Jose Maria Velasco Ibarra Airport,medium_airport,3532,65,ASPH,1430
EC,SEMC,Coronel E Carvajal Airport,medium_airport,8202,98,ASPH,3356
EC,SEMT,Eloy Alfaro International Airport,medium_airport,9383,148,ASPH,37
EC,SENF,Napurak Airstrip,small_airport,2077,49,Earth,880
EC,SEPC,Patuca Airport,small_airport,5255,96,ASPH,1764
EC,SEPV,Reales Tamarindos Airport,medium_airport,7451,89,ASPH,114
EC,SEQM,Mariscal Sucre International Airport,large_airport,13445,148,CON,7776
EC,SEQU,Mariscal Sucre Air Base,heliport,10236,151,ASPH,9217
EC,SERB,Chimborazo Airport,small_airport,5250,95,ASPH,9151
EC,SERO,Santa Rosa - Artillery Colonel Victor Larrea International Airport,medium_airport,8625,148,ASPH,20
EC,SESA,General Ulpiano Paez Airport,medium_airport,3641,131,ASPH,15
EC,SESM,Rio Amazonas Airport,small_airport,5052,82,ASPH,3465
EC,SEST,San Cristóbal Airport,small_airport,6214,66,ASPH,27
EC,SESV,Los Perales Airport,small_airport,7227,98,ASPH,8
EC,SETA,Taura Air Base,small_airport,10015,145,ASPH,56
EC,SETE,Mayor Galo Torres Airport,small_airport,3937,49,ASPH,1709
EC,SETM,Ciudad de Catamayo Airport,small_airport,6725,98,ASPH,3923
EC,SETN,Carlos Concha Torres International Airport,medium_airport,7874,148,ASPH,20
EC,SETR,Tarapoa Airport,medium_airport,5151,49,ASPH,814
EC,SETU,Lieutenant Colonel Luis A. Mantilla International Airport,medium_airport,8071,98,ASPH,9646
FK,EGYP,Mount Pleasant Airport,medium_airport,5003,75,ASPH,215
GF,SOCA,Cayenne – Félix Eboué Airport,large_airport,10486,148,ASPH,18
GF,SOOR,Régina Airport,small_airport,2625,49,ASPH,21
GY,SYCJ,Cheddi Jagan International Airport,medium_airport,7448,148,ASPH,96
PE,SPAS,Alferez FAP Alfredo Vladimir Sara Bauer Airport,small_airport,6749,131,ASPH,728
PE,SPCL,Cap FAP David Abenzur Rengifo International Airport,medium_airport,9186,148,ASPH,513
PE,SPEO,FAP Lieutenant Jaime Andres de Montreuil Morales Airport,medium_airport,5905,98,ASPH,69
PE,SPEQ,Cesar Torke Podesta Airport,small_airport,5905,98,ASPH,4470
PE,SPHI,Air Force Captain Jose A Quinones Gonzales International Airport,medium_airport,8266,148,ASPH,94
PE,SPHO,Air Force Colonel Alfredo Mendivil Duarte Airport,medium_airport,9186,148,ASPH,8917
PE,SPHY,Andahuaylas Airport,small_airport,8202,98,ASPH,11300
PE,SPHZ,Comandante FAP German Arias Graziani Airport,medium_airport,10007,98,ASPH,9022
PE,SPIM,Jorge Chávez International Airport,large_airport,11506,148,CON,46
PE,SPJI,Juanjui Airport,medium_airport,6562,98,ASPH,1148
PE,SPJJ,Francisco Carle Airport,medium_airport,9220,148,ASPH,10900
PE,SPJL,Inca Manco Capac International Airport,medium_airport,13779,150,ASPH,12552
PE,SPJR,Mayor General FAP Armando Revoredo Iglesias Airport,medium_airport,8201,148,ASPH,8848
PE,SPLO,General Jorge Fernandez Maldon Airport,medium_airport,8202,148,ASPH,72
PE,SPLP,Las Palmas Air Base,small_airport,8019,150,ASPH,250
PE,SPME,Captain Pedro Canga Rodríguez International Airport,medium_airport,8202,148,ASPH,96
PE,SPMS,Moises Benzaquen Rengifo Airport,medium_airport,5912,98,ASPH,570
PE,SPNC,Alferez Fap David Figueroa Fernandini Airport,medium_airport,8202,98,ASPH,6070
PE,SPQT,Coronel FAP Francisco Secada Vignetta International Airport,medium_airport,8202,148,CON,306
PE,SPQU,Rodríguez Ballón International Airport,medium_airport,9777,148,ASPH,8270
PE,SPRU,Capitan FAP Carlos Martinez De Pinillos International Airport,medium_airport,9920,145,ASPH,46
PE,SPSO,Captain Renán Elías Olivera International Airport,medium_airport,9908,148,ASPH,11
PE,SPST,Cadete FAP Guillermo Del Castillo Paredes Airport,medium_airport,8530,148,ASPH,869
PE,SPTN,Coronel FAP Carlos Ciriani Santa Rosa International Airport,medium_airport,8202,148,ASPH,1375
PE,SPTU,Padre Aldamiz International Airport,medium_airport,11482,148,CON,659
PE,SPUR,Capitán FAP Guillermo Concha Iberico International Airport,medium_airport,8202,148,ASPH,120
PE,SPYL,Captain Victor Montes Arias International Airport,medium_airport,8038,148,ASPH,277
PE,SPZA,Maria Reiche Neuman Airport,medium_airport,3355,65,ASPH,1805
PE,SPZO,Alejandro Velasco Astete International Airport,large_airport,11146,148,ASPH,10860
PY,SGAS,Silvio Pettirossi International Airport.,large_airport,10997,148,ASPH,292
PY,SGAY,Aeropuerto Nacional de Juan De Ayolas,medium_airport,6070,148,ASPH,223
PY,SGCO,Aeropuerto Nacional Tte. Cnel. Carmelo Peralta,medium_airport,6070,148,ASPH,249
PY,SGES,Aeropuerto Internacional Guaraní,large_airport,11154,148,ASPH,846
PY,SGIB,Aeropuerto Nacional de Itaipú,medium_airport,4987,75,ASPH,762
PY,SGME,Aeropuerto Internacional Dr. Luis Maria Argaña,large_airport,11483,131,CON,549
PY,SGPJ,Dr. Augusto Roberto Fuster Airport,medium_airport,5908,98,ASPH,1870
SR,SMJP,Johan Adolf Pengel International Airport,large_airport,11417,148,ASPH,56
UY,SUAA,Ángel S. Adami International Airport,medium_airport,4101,75,CON,174
UY,SUCM,Zagarzazú International Airport,small_airport,3478,92,GRE,36
UY,SUCN,Aeroclub Canelones,small_airport,2297,98,GRS,98
UY,SUDU,Santa Bernardina International Airport,medium_airport,7477,148,PEM,272
UY,SULS,Capitan Corbeta CA Curbelo International Airport,medium_airport,5249,125,ASPH,95
UY,SUMU,Carrasco General Cesáreo L. Berisso International Airport,large_airport,7382,148,PEM,62
UY,SUSO,Nueva Hesperides International Airport,medium_airport,5210,148,ASPH,187
UY,SUTR,Treinta y Tres Airport,small_airport,3510,125,GRS,466
VE,SVAC,Oswaldo Guevara Mujica Airport,medium_airport,5990,131,ASPH,732
VE,SVBC,General José Antonio Anzoategui International Airport,large_airport,9186,131,ASPH,39
VE,SVBI,Barinas Airport,medium_airport,3940,130,ASPH,619
VE,SVBM,Barquisimeto International Airport,medium_airport,9350,147,ASPH,2042
VE,SVCR,José Leonardo Chirinos Airport,medium_airport,6761,148,ASPH,50
VE,SVCS,Oscar Machado Zuluaga Airport,medium_airport,6562,98,ASPH,2145
VE,SVCU,Cumaná (Antonio José de Sucre) Airport,medium_airport,10171,148,ASPH,25
